Danceability,Views,Energy,Loudness,Album_type_Unknown,Album_type_album,Album_type_compilation,Album_type_single,Cluster
0.838974358974359,0.08583976728766364,0.704994011378431,0.8389052595874583,0.0,1.0,0.0,0.0,0
0.6933333333333335,0.008912719076484102,0.7029939707776068,0.85722159801573,0.0,1.0,0.0,0.0,0
0.7128205128205128,0.001043987755170606,0.9229984368682685,0.8971825909987068,0.0,0.0,0.0,1.0,1
0.7066666666666667,0.026208433375329437,0.7389947015924424,0.8573275953445972,0.0,1.0,0.0,0.0,0
0.6800000000000002,0.0765479948806719,0.6939937880738979,0.7976087002607534,0.0,1.0,0.0,0.0,0
0.7794871794871796,0.03205846558369497,0.8909977872550814,0.8564372177821118,0.0,1.0,0.0,0.0,0
0.7343589743589745,5.594252668015719e-05,0.8969979090575539,0.8281783299060863,0.0,0.0,0.0,1.0,1
0.7446153846153847,0.00012512696463720625,0.8149962444237618,0.8557164359458141,0.0,1.0,0.0,0.0,0
0.7600000000000001,0.003027336819223715,0.9129982338641476,0.9096902758050497,0.0,0.0,0.0,1.0,1
0.6410256410256411,0.019154427261146783,0.876997503049312,0.8283691250980475,0.0,1.0,0.0,0.0,0
0.6071794871794872,0.12609597438617165,0.7669952700039812,0.9213923809120009,0.0,1.0,0.0,0.0,0
0.5733333333333335,0.030531982632837427,0.3449867032300756,0.6943885014097644,0.0,1.0,0.0,0.0,0
0.633846153846154,0.041664649530864135,0.9379987413744499,0.9075279302961565,0.0,1.0,0.0,0.0,0
0.6102564102564103,0.053854011542438025,0.7169942549833762,0.878675457378474,0.0,1.0,0.0,0.0,0
0.4697435897435898,0.0833611244527173,0.79499583841552,0.9112802357380594,0.0,1.0,0.0,0.0,0
0.437948717948718,0.03971351015665524,0.8999979699587903,0.9026096542367132,0.0,1.0,0.0,0.0,0
0.5702564102564104,0.040129051085422585,0.9129982338641476,0.930465752263043,0.0,1.0,0.0,0.0,0
0.46256410256410263,0.022155082229421134,0.9699993909876371,0.8758135294990566,0.0,1.0,0.0,0.0,0
0.6830769230769232,0.010722980926310154,0.9359987007736259,0.7702189904814398,0.0,1.0,0.0,0.0,0
0.717948717948718,0.05446250750305766,0.7419947624936787,0.836827711941659,0.0,1.0,0.0,0.0,0
0.9251282051282053,0.20825364847064262,0.7199943158846125,0.9216467745012825,0.0,1.0,0.0,0.0,0
0.6297435897435898,0.10383800241949163,0.5739913520244462,0.8117275444658794,0.0,1.0,0.0,0.0,0
0.5015384615384616,0.05892996609968481,0.6919937474730737,0.8390536558478726,0.0,1.0,0.0,0.0,0
0.717948717948718,0.0708767224099248,0.7579950873002723,0.9166437005787453,0.0,1.0,0.0,0.0,0
0.6697435897435898,0.054600838258505605,0.8259964677282949,0.9183820567721693,0.0,1.0,0.0,0.0,0
0.9487179487179489,0.0049291682368430975,0.6589930775594746,0.8795234360094125,0.0,1.0,0.0,0.0,0
0.5907692307692308,0.06228594205670184,0.8069960820204651,0.897648979245723,0.0,1.0,0.0,0.0,0
0.874871794871795,0.0006547092284572337,0.7759954527076901,0.8910135464586292,0.0,1.0,0.0,0.0,0
0.914871794871795,5.7051980766390095e-06,0.6309925091479358,0.927031438807742,0.0,1.0,0.0,0.0,0
0.5589743589743591,3.60192611041677e-05,0.6399926918516446,0.9056835767738652,0.0,0.0,0.0,1.0,1
0.5805128205128205,0.0709874501110807,0.8339966301315918,0.8021665854020478,0.0,1.0,0.0,0.0,0
0.5610256410256411,0.14973497472426575,0.39398769795026845,0.772890123168896,0.0,1.0,0.0,0.0,0
0.5528205128205129,0.0025697785967855966,0.8279965083291191,0.7874117572237179,0.0,1.0,0.0,0.0,0
